id,category_group,name,price,brand,color,rating,sold_qty,url,image
336408,Điện thoại,Điện thoại vivo V50 Lite 5G 8GB/256GB,8660000,vivo,Vàng,4.9,"Đã bán 15,3k",https://www.thegioididong.com/dtdd/vivo-v50-lite-5g,https://cdn.tgdd.vn/Products/Images/42/336408/vivo-v50-lite-vang-600x600.jpg
361951,Điện thoại,Điện thoại Samsung Galaxy S26 Ultra 5G 12GB/256GB,27500000,Samsung,Đen,4.9,Đã bán 17k,https://www.thegioididong.com/dtdd/samsung-galaxy-s26-ultra-12gb-256gb,https://cdn.tgdd.vn/Products/Images/42/361951/samsung-galaxy-s26-ultra-12gb-256gb-den-thumb-600x600.jpg
363398,Điện thoại,Điện thoại Samsung Galaxy A57 5G 8GB/128GB,10590000,Samsung,Tím,4.9,"Đã bán 2,8k",https://www.thegioididong.com/dtdd/samsung-galaxy-a57-8gb-128gb,https://cdn.tgdd.vn/Products/Images/42/363398/samsung-galaxy-a57-tim-thumb-600x600.jpg
341802,Điện thoại,Điện thoại Samsung Galaxy A07 4GB/64GB,3140000,Samsung,Đen,4.9,Đã bán 123k,https://www.thegioididong.com/dtdd/samsung-galaxy-a07-4gb-64gb,https://cdn.tgdd.vn/Products/Images/42/341802/samsung-galaxy-a07-black-thumbnew-600x600.jpg
341797,Điện thoại,Điện thoại Samsung Galaxy A17 4GB/128GB,5200000,Samsung,Xám,4.9,"Đã bán 105,9k",https://www.thegioididong.com/dtdd/samsung-galaxy-a17-4gb-128gb?utm_flashsale=1,https://cdn.tgdd.vn/Products/Images/42/341797/samsung-galaxy-a17-lte-xam-thumb-600x600.jpg
311033,Điện thoại,Điện thoại Nokia 105 4G Pro,780000,Nokia,Đen,4.9,"Đã bán 397,4k",https://www.thegioididong.com/dtdd/nokia-105-4g-pro,https://cdn.tgdd.vn/Products/Images/42/311033/nokia-105-4g-den-thumb-600x600.jpg
369630,Điện thoại,Điện thoại Xiaomi Redmi 17 4G 4GB/128GB,4790000,Xiaomi,Xanh lá,,,https://www.thegioididong.com/dtdd/xiaomi-redmi-17-4g-4gb-128gb?utm_flashsale=1,https://cdn.tgdd.vn/Products/Images/42/369630/xiaomi-redmi-17-green-thumb-600x600.jpg
365289,Điện thoại,Điện thoại Xiaomi Poco C71 4GB/64GB,3190000,Xiaomi,Vàng,5,"Đã bán 22,6k",https://www.thegioididong.com/dtdd/xiaomi-poco-c71-4gb-64gb?utm_flashsale=1,https://cdn.tgdd.vn/Products/Images/42/365289/xiaomi-poco-c71-4gb-64gb-vang-thumb-600x600.jpg
367977,Điện thoại,Điện thoại Masstel IZI T6 T127,550000,Masstel,Đen,5,"Đã bán 13,4k",https://www.thegioididong.com/dtdd/masstel-izi-t6-t127,https://cdn.tgdd.vn/Products/Images/42/367977/masstel-izi-t6-t127-den-thumb-600x600.jpg
360671,Điện thoại,Điện thoại vivo Y31d 6GB/128GB,7640000,vivo,Đen,4.9,Đã bán 38k,https://www.thegioididong.com/dtdd/vivo-y31d-6gb-128gb,https://cdn.tgdd.vn/Products/Images/42/360671/vivo-31d-den-thumb-600x600.jpg
323546,Điện thoại,Điện thoại Masstel Fami 50 4G,650000,Masstel,Xanh lá,4.9,"Đã bán 93,6k",https://www.thegioididong.com/dtdd/masstel-fami-50,https://cdn.tgdd.vn/Products/Images/42/323546/masstel-fami-50-green-thumb-600x600.jpg
365875,Điện thoại,Điện thoại vivo Y05 4GB/64GB,4740000,vivo,Đen,5,Đã bán 27k,https://www.thegioididong.com/dtdd/vivo-y05-4gb-64gb?utm_flashsale=1,https://cdn.tgdd.vn/Products/Images/42/365875/vivo-y05-xanh-den-thumb-600x600.jpg
329676,Điện thoại,Điện thoại Nokia HMD 105 4G,750000,Nokia,Hồng,4.9,"Đã bán 90,8k",https://www.thegioididong.com/dtdd/nokia-hmd-105-4g,https://cdn.tgdd.vn/Products/Images/42/329676/nokia-hmd-105-4g-pink-thumb-600x600.jpg
342939,Điện thoại,Điện thoại Masstel IZI 10 4G Type-C,430000,Masstel,Xanh Dương,4.9,"Đã bán 55,7k",https://www.thegioididong.com/dtdd/masstel-izi-10-type-c,https://cdn.tgdd.vn/Products/Images/42/342939/masstel-izi-10-xanh-600x600.jpg
